t,event,task,x,y,deadline,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
0.000,start,,,,,constrained+STL runtime,,,,,,,,,,
0.003,start,0,0.013,0.000,223824.169,new goal window,1,0.0500,0,-inf,1,0.4000,0,-inf,0.000,0.400
1.010,pose,0,0.127,0.002,223824.169,,1,0.0500,0,-1.7234,1,0.4000,0,-1.7234,0.000,0.400
2.026,pose,0,0.476,0.005,223824.169,,1,0.0500,0,-1.3742,0,-1.0305,0,-1.3742,1.430,0.400
3.029,pose,0,0.804,0.003,223824.169,,1,0.0500,0,-1.0460,0,-1.0157,0,-1.0460,0.000,0.400
4.034,pose,0,1.130,0.002,223824.169,,1,0.0500,0,-0.7202,0,-0.8798,0,-0.8798,0.000,0.400
5.051,pose,0,1.516,0.003,223824.169,,1,0.0500,0,-0.3342,0,-1.0544,0,-1.0544,1.454,0.400
5.968,finish,0,1.871,0.001,223824.169,dur=5.96s,1,0.0500,1,0.0211,0,-1.0250,0,-1.0250,1.425,0.400
5.968,start,1,1.871,0.001,223834.169,new goal window,1,0.0500,0,-inf,0,-1.0250,0,-inf,0.000,0.400
6.052,pose,1,1.871,0.001,223834.169,,1,0.0500,0,-2.2025,1,0.4000,0,-2.2025,0.000,0.400
7.054,pose,1,2.256,-0.005,223834.169,,1,0.0500,0,-1.8580,1,0.4000,0,-1.8580,0.000,0.400
8.059,pose,1,2.632,-0.205,223834.169,,1,0.0500,0,-1.4320,0,-0.9969,0,-1.4320,1.397,0.400
9.060,pose,1,2.845,-0.524,223834.169,,1,0.0500,0,-1.0991,0,-1.0361,0,-1.0991,0.000,0.400
10.073,pose,1,3.196,-0.658,223834.169,,1,0.0500,0,-0.7235,0,-1.1621,0,-1.1621,0.000,0.200
11.075,pose,1,3.587,-0.615,223834.169,,1,0.0500,0,-0.4150,0,-1.9471,0,-1.9471,0.000,0.200
12.078,pose,1,3.772,-0.697,223834.169,,1,0.0500,0,-0.2291,0,-0.5216,0,-0.5216,0.000,0.200
13.085,pose,1,3.837,-0.891,223834.169,,1,0.0500,0,-0.0457,1,0.2000,0,-0.0457,0.000,0.200
13.488,finish,1,3.857,-0.978,223834.169,dur=7.52s,1,0.0500,1,0.0056,0,-0.5152,0,-0.5152,0.715,0.200
13.488,start,2,3.857,-0.978,223844.169,new goal window,1,0.0500,0,-inf,0,-0.5152,0,-inf,0.000,0.200
14.104,pose,2,3.929,-1.074,223844.169,,1,0.0500,0,-2.4518,0,-0.5209,0,-2.4518,0.721,0.200
15.118,pose,2,4.127,-1.114,223844.169,,1,0.0500,0,-2.3223,0,-1.2236,0,-2.3223,1.424,0.200
16.123,pose,2,4.278,-0.976,223844.169,,1,0.0500,0,-2.1174,0,-1.3356,0,-2.1174,1.536,0.200
17.125,pose,2,4.346,-0.804,223844.169,,1,0.0500,0,-1.9564,0,-0.5250,0,-1.9564,0.000,0.200
18.130,pose,2,4.514,-0.695,223844.169,,1,0.0500,0,-1.7571,0,-1.1299,0,-1.7571,1.330,0.200
19.151,pose,2,4.699,-0.655,223844.169,,1,0.0500,0,-1.5899,0,-0.5077,0,-1.5899,0.000,0.200
20.163,pose,2,4.824,-0.491,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.3882,0,-0.4518,0,-1.3882,0.752,0.300
21.172,pose,2,4.910,-0.316,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.2116,1,0.3000,0,-1.2116,0.000,0.300
22.173,pose,2,4.958,-0.275,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1484,1,0.2983,0,-1.1484,0.002,0.300
23.191,pose,2,4.959,-0.275,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1480,1,0.2965,0,-1.1480,0.000,0.300
24.205,pose,2,4.959,-0.275,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1476,1,0.2987,0,-1.1476,0.000,0.300
25.209,pose,2,4.959,-0.275,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1472,1,0.2969,0,-1.1472,0.000,0.300
26.217,pose,2,4.960,-0.274,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1468,1,0.2969,0,-1.1468,0.000,0.300
27.219,pose,2,4.960,-0.274,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1464,1,0.3000,0,-1.1464,0.000,0.300
28.226,pose,2,4.960,-0.274,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1460,1,0.2983,0,-1.1460,0.000,0.300
29.247,pose,2,4.961,-0.274,223844.169,HCD: prevent entering A,0,-0.0500,0,-1.1456,1,0.2980,0,-1.1456,0.000,0.300
30.006,miss,2,4.961,-0.273,223844.169,deadline,0,-0.0500,0,-1.1453,1,0.2988,0,-1.1453,0.000,0.300
30.006,idle,,4.961,-0.273,,,0,-0.0500,0,-1.1453,1,0.2988,0,-1.1453,0.000,0.300
30.006,end,,,,,all done,0,-0.0500,0,-1.1453,1,0.2988,0,-1.1453,,
